日期,质量等级,AQI,PM2.5,PM10,SO2,NO2,CO,O3,城市
2026-01-26,中度污染,164,301,125,169,51,9,1.28,石家庄
2026-01-27,重度污染,226,335,176,241,65,9,1.59,石家庄
2026-01-28,中度污染,189,325,142,192,54,6,1.28,石家庄
2026-01-29,轻度污染,109,274,82,123,32,3,0.78,石家庄
2026-01-30,轻度污染,119,299,90,120,27,3,0.79,石家庄
2026-01-31,中度污染,194,337,146,169,41,4,1.18,石家庄
2026-02-01,中度污染,154,319,118,138,40,4,1.13,石家庄
2026-02-02,轻度污染,141,319,108,131,40,5,1.08,石家庄
2026-02-03,轻度污染,144,327,110,139,48,7,1.09,石家庄
2026-02-04,轻度污染,132,305,101,141,52,9,1.14,石家庄
2026-02-05,良,86,191,49,122,29,5,0.64,石家庄
2026-02-06,良,56,160,21,62,15,2,0.35,石家庄
2026-02-07,良,52,194,26,53,19,3,0.43,石家庄
2026-02-08,良,62,264,38,73,31,6,0.63,石家庄
2026-02-09,轻度污染,112,321,85,124,48,8,0.95,石家庄
2026-02-10,轻度污染,111,312,84,135,40,6,0.96,石家庄
2026-02-11,良,84,237,57,119,34,9,0.84,石家庄
2026-02-12,良,88,227,61,126,37,11,0.98,石家庄
2026-02-13,良,96,262,72,134,31,10,0.95,石家庄
2026-02-14,轻度污染,115,304,87,147,25,8,0.90,石家庄
2026-02-15,良,51,142,9,52,4,2,0.28,石家庄
2026-02-16,良,52,215,23,54,9,6,0.49,石家庄
2026-02-17,良,71,146,52,81,12,13,0.64,石家庄
2026-02-18,优,44,98,21,42,7,6,0.45,石家庄
2026-02-19,优,49,87,20,49,9,5,0.41,石家庄
2026-02-20,良,72,260,26,95,10,6,0.45,石家庄
2026-02-21,中度污染,182,304,65,313,11,5,0.45,石家庄
2026-02-22,中度污染,183,277,76,316,3,3,0.22,石家庄
2026-02-23,良,54,112,16,58,4,3,0.30,石家庄
2026-02-24,良,69,277,42,88,14,5,0.53,石家庄
2026-02-25,良,69,258,47,88,7,3,0.44,石家庄
2026-02-26,良,84,320,62,99,15,3,0.50,石家庄
2026-02-27,良,64,253,39,78,9,2,0.36,石家庄
2026-02-28,良,70,273,51,77,12,2,0.49,石家庄
2026-03-01,良,88,302,65,83,16,2,0.62,石家庄
2026-03-02,轻度污染,115,316,87,88,16,2,0.86,石家庄
2026-03-03,轻度污染,150,325,115,129,19,2,1.00,石家庄
2026-03-04,轻度污染,108,300,81,95,20,2,0.97,石家庄
2026-03-05,良,72,279,53,62,13,2,0.64,石家庄
2026-03-06,良,70,277,51,68,16,2,0.64,石家庄
2026-03-07,良,72,283,53,74,20,2,0.64,石家庄
2026-03-08,轻度污染,111,325,84,109,25,3,0.88,石家庄
2026-03-09,良,76,278,56,77,16,3,0.52,石家庄
2026-03-10,轻度污染,112,303,85,112,30,3,0.72,石家庄
2026-03-11,轻度污染,112,298,85,113,24,3,0.64,石家庄
2026-03-12,轻度污染,124,289,94,120,21,3,0.59,石家庄
2026-03-13,中度污染,166,302,126,144,34,3,0.74,石家庄
2026-03-14,良,94,278,70,84,14,2,0.58,石家庄
2026-03-15,优,48,108,32,48,13,3,0.41,石家庄
2026-03-16,良,54,146,32,58,19,3,0.41,石家庄
2026-03-17,轻度污染,112,282,85,113,26,4,0.74,石家庄
2026-03-18,良,56,232,24,63,10,3,0.32,石家庄
2026-03-19,良,60,226,30,71,26,5,0.52,石家庄
2026-03-20,良,82,252,61,110,27,4,0.61,石家庄
